relation	entity1	entity2	arg1	arg2	path
rel_330	Ent[ent_133]	Ent[ent_375]	Dick Ebersol	NBC Sports	appos|->appos->head->prep->of->pobj->|pobj
rel_330	Ent[ent_133]	Ent[ent_375]	Dick Ebersol	NBC Sports	appos|<-appos<-conga->appos->president->prep->of->pobj->|pobj
rel_399	Ent[ent_133]	Ent[ent_375]	Dick Ebersol	NBC Sports	appos|->appos->chairman->nn->|nn
rel_399	Ent[ent_133]	Ent[ent_375]	Dick Ebersol	NBC Sports	rcmod|->rcmod->run->dobj->|dobj
rel_330	Ent[ent_133]	Ent[ent_375]	Dick Ebersol	NBC Sports	rcmod|->rcmod->producer->prep->of->pobj->|pobj
rel_399	Ent[ent_133]	Ent[ent_375]	Dick Ebersol	NBC Sports	rcmod|->rcmod->president->prep->of->pobj->|pobj
rel_330	Ent[ent_136]	Ent[ent_378]	Juan Antonio Samaranch	International Olympic Committee	appos|->appos->president->prep->of->pobj->|pobj
rel_2	Ent[ent_136]	Ent[ent_378]	Juan Antonio Samaranch	International Olympic Committee	dobj|<-dobj<-succeed->prep->as->pobj->president->prep->of->pobj->|pobj
rel_330	Ent[ent_136]	Ent[ent_378]	Juan Antonio Samaranch	International Olympic Committee	appos|->appos->president->nn->|nn
rel_330	Ent[ent_136]	Ent[ent_378]	Juan Antonio Samaranch	International Olympic Committee	appos|->appos->head->prep->of->pobj->|pobj
rel_2	Ent[ent_136]	Ent[ent_378]	Juan Antonio Samaranch	International Olympic Committee	nsubj|<-nsubj<-re-elected->prep->as->pobj->president->prep->of->pobj->|pobj
rel_2	Ent[ent_136]	Ent[ent_378]	Juan Antonio Samaranch	International Olympic Committee	dobj|<-dobj<-remind->dep->go->prep->as->pobj->president->prep->of->pobj->|pobj
rel_355	Ent[ent_594]	Ent[ent_378]	Juan Antonio Samaranch	International Olympic Committee	appos|<-appos<-expulsion->appos->president->prep->of->pobj->|pobj
rel_2	Ent[ent_136]	Ent[ent_378]	Juan Antonio Samaranch	International Olympic Committee	rcmod|->rcmod->step->prep->after->pobj->decade->prep->as->pobj->president->prep->of->pobj->|pobj
rel_2	Ent[ent_136]	Ent[ent_378]	Juan Antonio Samaranch	International Olympic Committee	rcmod|->rcmod->participate->prep->as->pobj->president->prep->of->pobj->|pobj
rel_330	Ent[ent_136]	Ent[ent_378]	Juan Antonio Samaranch	International Olympic Committee	pobj|<-pobj<-to<-prep<-letter->rcmod->say->nsubj->president->prep->of->pobj->|pobj
rel_330	Ent[ent_135]	Ent[ent_377]	Rocco Landesman	Jujamcyn Theaters	appos|->appos->president->prep->of->pobj->|pobj
rel_330	Ent[ent_135]	Ent[ent_377]	Rocco Landesman	Jujamcyn Theaters	nsubj|<-nsubj<-president->prep->of->pobj->|pobj
rel_330	Ent[ent_135]	Ent[ent_377]	Rocco Landesman	Jujamcyn Theaters	appos|->appos->head->prep->of->pobj->|pobj
rel_330	Ent[ent_135]	Ent[ent_377]	Rocco Landesman	Jujamcyn Theaters	pobj|<-pobj<-of<-prep<-word<-pobj<-in<-prep<-important->nsubj->spokesman->prep->for->pobj->|pobj
rel_330	Ent[ent_135]	Ent[ent_377]	Rocco Landesman	Jujamcyn Theaters	nsubj|<-nsubj<-say->nsubj->president->prep->of->pobj->|pobj
rel_249	Ent[ent_135]	Ent[ent_377]	Rocco Landesman	Jujamcyn Theaters	nsubj|<-nsubj<-owner->appos->|appos
rel_330	Ent[ent_135]	Ent[ent_377]	Rocco Landesman	Jujamcyn Theaters	nsubj|<-nsubj<-buy->dobj->|dobj
rel_330	Ent[ent_135]	Ent[ent_377]	Rocco Landesman	Jujamcyn Theaters	nn|<-nn<-president->prep->of->pobj->|pobj
rel_249	Ent[ent_135]	Ent[ent_377]	Rocco Landesman	Jujamcyn Theaters	appos|<-appos<-warning<-pobj<-in<-prep<-workshop<-pobj<-after<-prep<-say->nsubj->president->prep->of->pobj->|pobj
rel_249	Ent[ent_135]	Ent[ent_377]	Rocco Landesman	Jujamcyn Theaters	appos|->appos->president->prep->of->pobj->chain->nn->|nn
rel_294	Ent[ent_102]	Ent[ent_127]	Jack Valenti	Motion Picture Association of America	appos|->appos->president->prep->of->pobj->|pobj
rel_399	Ent[ent_370]	Ent[ent_127]	Jack Valenti	Motion Picture Association of America	appos|->appos->chairman->prep->of->pobj->|pobj
rel_399	Ent[ent_370]	Ent[ent_127]	Jack Valenti	Motion Picture Association of America	appos|->appos->head->prep->of->pobj->|pobj
rel_399	Ent[ent_370]	Ent[ent_127]	Jack Valenti	Motion Picture Association of America	pobj|<-pobj<-by<-prep<-talk<-pobj<-at<-prep<-insistence->appos->president->prep->of->pobj->|pobj
rel_399	Ent[ent_370]	Ent[ent_127]	Jack Valenti	Motion Picture Association of America	appos|->appos->executive->prep->of->pobj->|pobj
rel_399	Ent[ent_370]	Ent[ent_127]	Jack Valenti	Motion Picture Association of America	rcmod|->rcmod->president->prep->of->pobj->|pobj
rel_399	Ent[ent_370]	Ent[ent_127]	Jack Valenti	Motion Picture Association of America	pobj|<-pobj<-by<-prep<-announce<-partmod<-change->appos->president->prep->of->pobj->|pobj
rel_399	Ent[ent_370]	Ent[ent_127]	Jack Valenti	Motion Picture Association of America	rcmod|->rcmod->prod->prep->as->pobj->president->prep->of->pobj->|pobj
rel_399	Ent[ent_370]	Ent[ent_127]	Jack Valenti	Motion Picture Association of America	rcmod|->rcmod->make->nsubj->position->prep->as->pobj->president->prep->of->pobj->|pobj
rel_399	Ent[ent_370]	Ent[ent_127]	Jack Valenti	Motion Picture Association of America	poss|<-poss<-legacy<-pobj<-of<-prep<-part->prep->as->pobj->head->prep->of->pobj->|pobj
rel_399	Ent[ent_369]	Ent[ent_126]	Steven Spinola	Real Estate Board of New York	appos|->appos->president->prep->of->pobj->|pobj
rel_399	Ent[ent_369]	Ent[ent_126]	Steven Spinola	Real Estate Board of New York	appos|->appos->head->prep->of->pobj->|pobj
rel_399	Ent[ent_369]	Ent[ent_126]	Steven Spinola	Real Estate Board of New York	nsubj|<-nsubj<-say->nsubj->|nsubj
rel_399	Ent[ent_369]	Ent[ent_126]	Steven Spinola	Real Estate Board of New York	dep|<-dep<-campaign->appos->president->prep->of->pobj->|pobj
rel_399	Ent[ent_369]	Ent[ent_126]	Steven Spinola	Real Estate Board of New York	appos|->appos->president->dep->|dep
rel_399	Ent[ent_369]	Ent[ent_126]	Steven Spinola	Real Estate Board of New York	appos|<-appos<-opponent->appos->president->prep->of->pobj->|pobj
rel_399	Ent[ent_369]	Ent[ent_126]	Steven Spinola	Real Estate Board of New York	appos|<-appos<-executive->appos->president->prep->of->pobj->|pobj
rel_399	Ent[ent_368]	Ent[ent_129]	Norman Siegel	New York Civil Liberties Union	appos|->appos->director->prep->of->pobj->|pobj
rel_399	Ent[ent_368]	Ent[ent_129]	Norman Siegel	New York Civil Liberties Union	appos|->appos->head->prep->of->pobj->|pobj
rel_399	Ent[ent_368]	Ent[ent_129]	Norman Siegel	New York Civil Liberties Union	appos|<-appos<-lawyer->appos->director->prep->of->pobj->|pobj
rel_399	Ent[ent_368]	Ent[ent_129]	Norman Siegel	New York Civil Liberties Union	appos|->appos->president->prep->of->pobj->|pobj
rel_399	Ent[ent_368]	Ent[ent_129]	Norman Siegel	New York Civil Liberties Union	pobj|<-pobj<-of<-prep<-title<-dobj<-misstate->prep->at->pobj->|pobj
rel_399	Ent[ent_368]	Ent[ent_129]	Norman Siegel	New York Civil Liberties Union	appos|->appos->lawyer->prep->of->pobj->|pobj
rel_399	Ent[ent_368]	Ent[ent_129]	Norman Siegel	New York Civil Liberties Union	appos|<-appos<-critic->appos->director->prep->of->pobj->|pobj
rel_399	Ent[ent_368]	Ent[ent_129]	Norman Siegel	New York Civil Liberties Union	rcmod|->rcmod->be->prep->as->pobj->director->prep->of->pobj->|pobj
rel_399	Ent[ent_368]	Ent[ent_129]	Norman Siegel	New York Civil Liberties Union	rcmod|->rcmod->agree->nsubj->director->prep->of->pobj->|pobj
rel_399	Ent[ent_368]	Ent[ent_129]	Norman Siegel	New York Civil Liberties Union	pobj|<-pobj<-with<-prep<-meet->dobj->director->prep->of->pobj->|pobj
rel_399	Ent[ent_128]	Ent[ent_141]	C. Fred Bergsten	Institute for International Economics	appos|->appos->director->prep->of->pobj->|pobj
rel_399	Ent[ent_128]	Ent[ent_141]	C. Fred Bergsten	Institute for International Economics	appos|->appos->head->prep->of->pobj->|pobj
rel_399	Ent[ent_128]	Ent[ent_141]	C. Fred Bergsten	Institute for International Economics	appos|->appos->president->prep->of->pobj->|pobj
rel_399	Ent[ent_128]	Ent[ent_141]	C. Fred Bergsten	Institute for International Economics	rcmod|->rcmod->run->dobj->|dobj
rel_399	Ent[ent_128]	Ent[ent_141]	C. Fred Bergsten	Institute for International Economics	appos|->appos->director->prep->for->pobj->|pobj
rel_261	Ent[ent_1183]	Ent[ent_141]	C. Fred Bergsten	Institute for International Economics	appos|->appos->official->rcmod->director->prep->of->pobj->|pobj
rel_399	Ent[ent_128]	Ent[ent_141]	C. Fred Bergsten	Institute for International Economics	rcmod|->rcmod->head->dobj->|dobj
rel_399	Ent[ent_128]	Ent[ent_141]	C. Fred Bergsten	Institute for International Economics	rcmod|->rcmod->director->prep->of->pobj->|pobj
rel_399	Ent[ent_128]	Ent[ent_141]	C. Fred Bergsten	Institute for International Economics	pobj|<-pobj<-of<-prep<-estimate<-pobj<-to<-dep<-accord<-prep<-director->prep->of->pobj->|pobj
rel_399	Ent[ent_128]	Ent[ent_141]	C. Fred Bergsten	Institute for International Economics	nsubj|<-nsubj<-put->prep->at->pobj->meeting->prep->of->pobj->|pobj
rel_365	Ent[ent_383]	Ent[ent_1220]	Blair Horner	New York Public Interest Research Group	appos|->appos->director->prep->of->pobj->|pobj
rel_27	Ent[ent_383]	Ent[ent_140]	Blair Horner	New York Public Interest Research Group	appos|->appos->director->prep->for->pobj->|pobj
rel_27	Ent[ent_383]	Ent[ent_140]	Blair Horner	New York Public Interest Research Group	appos|->appos->lobbyist->prep->for->pobj->|pobj
rel_365	Ent[ent_383]	Ent[ent_1220]	Blair Horner	New York Public Interest Research Group	appos|->appos->lobbyist->prep->with->pobj->|pobj
rel_322	Ent[ent_383]	Ent[ent_140]	Blair Horner	New York Public Interest Research Group	appos|->appos->head->prep->of->pobj->branch->prep->of->pobj->|pobj
rel_365	Ent[ent_1184]	Ent[ent_140]	Blair Horner	New York Public Interest Research Group	appos|->appos->director->prep->with->pobj->|pobj
rel_322	Ent[ent_383]	Ent[ent_140]	Blair Horner	New York Public Interest Research Group	appos|->appos->advocate->prep->as->pobj->director->prep->of->pobj->|pobj
rel_365	Ent[ent_383]	Ent[ent_1220]	Blair Horner	New York Public Interest Research Group	rcmod|->rcmod->watch->prep->as->pobj->head->prep->of->pobj->|pobj
rel_27	Ent[ent_383]	Ent[ent_140]	Blair Horner	New York Public Interest Research Group	appos|->appos->spokesman->prep->for->pobj->|pobj
rel_365	Ent[ent_383]	Ent[ent_1220]	Blair Horner	New York Public Interest Research Group	appos|->appos->analyst->prep->with->pobj->|pobj
rel_14	Ent[ent_382]	Ent[ent_143]	William J. Casey	Central Intelligence	appos|->appos->director->prep->of->pobj->|pobj
rel_14	Ent[ent_382]	Ent[ent_143]	William J. Casey	Central Intelligence	dep|->dep->director->prep->of->pobj->|pobj
rel_14	Ent[ent_382]	Ent[ent_143]	William J. Casey	Central Intelligence	prep|->prep->as->pobj->director->prep->of->pobj->|pobj
rel_14	Ent[ent_382]	Ent[ent_143]	William J. Casey	Central Intelligence	rcmod|->rcmod->director->prep->of->pobj->|pobj
rel_14	Ent[ent_382]	Ent[ent_143]	William J. Casey	Central Intelligence	rcmod|->rcmod->resign->prep->as->pobj->director->prep->of->pobj->|pobj
rel_14	Ent[ent_382]	Ent[ent_143]	William J. Casey	Central Intelligence	dobj|<-dobj<-replace->prep->as->pobj->director->prep->of->pobj->|pobj
rel_399	Ent[ent_625]	Ent[ent_143]	William J. Casey	Central Intelligence	poss|<-poss<-tenure->prep->as->pobj->director->prep->of->pobj->|pobj
rel_14	Ent[ent_382]	Ent[ent_143]	William J. Casey	Central Intelligence	pobj|<-pobj<-to<-prep<-successor->prep->as->pobj->director->prep->of->pobj->|pobj
rel_14	Ent[ent_382]	Ent[ent_143]	William J. Casey	Central Intelligence	pobj|<-pobj<-of<-prep<-motivation<-pobj<-about<-prep<-ask->dobj->director->prep->of->pobj->|pobj
rel_14	Ent[ent_382]	Ent[ent_143]	William J. Casey	Central Intelligence	nsubj|<-nsubj<-director->prep->of->pobj->|pobj
rel_27	Ent[ent_385]	Ent[ent_142]	Ralph Reed	Christian Coalition	appos|->appos->director->prep->of->pobj->|pobj
rel_330	Ent[ent_385]	Ent[ent_142]	Ralph Reed	Christian Coalition	appos|->appos->head->prep->of->pobj->|pobj
rel_330	Ent[ent_385]	Ent[ent_142]	Ralph Reed	Christian Coalition	appos|->appos->strategist->prep->of->pobj->|pobj
rel_330	Ent[ent_385]	Ent[ent_142]	Ralph Reed	Christian Coalition	appos|->appos->leader->nn->|nn
rel_27	Ent[ent_385]	Ent[ent_142]	Ralph Reed	Christian Coalition	rcmod|->rcmod->transform->dobj->|dobj
rel_27	Ent[ent_385]	Ent[ent_142]	Ralph Reed	Christian Coalition	dobj|<-dobj<-succeed->prep->as->pobj->director->prep->of->pobj->|pobj
rel_330	Ent[ent_385]	Ent[ent_142]	Ralph Reed	Christian Coalition	appos|->appos->president->prep->of->pobj->|pobj
rel_330	Ent[ent_385]	Ent[ent_142]	Ralph Reed	Christian Coalition	appos|->appos->leader->prep->of->pobj->|pobj
rel_27	Ent[ent_385]	Ent[ent_142]	Ralph Reed	Christian Coalition	appos|->appos->director->nn->|nn
rel_27	Ent[ent_385]	Ent[ent_142]	Ralph Reed	Christian Coalition	rcmod|->rcmod->turn->nsubj->wunderkind->nn->|nn
rel_399	Ent[ent_384]	Ent[ent_145]	Robert Gangi	Correctional Association of New York	appos|->appos->director->prep->of->pobj->|pobj
rel_399	Ent[ent_384]	Ent[ent_145]	Robert Gangi	Correctional Association of New York	rcmod|->rcmod->visit->prep->as->pobj->director->prep->of->pobj->|pobj
rel_399	Ent[ent_384]	Ent[ent_145]	Robert Gangi	Correctional Association of New York	pobj|<-pobj<-to<-dep<-accord<-prep<-director->prep->of->pobj->|pobj
rel_399	Ent[ent_384]	Ent[ent_145]	Robert Gangi	Correctional Association of New York	nsubj|<-nsubj<-say->nsubj->|nsubj
rel_399	Ent[ent_384]	Ent[ent_145]	Robert Gangi	Correctional Association of New York	appos|->appos->head->prep->of->pobj->|pobj
rel_399	Ent[ent_384]	Ent[ent_145]	Robert Gangi	Correctional Association of New York	appos|->appos->director->prep->for->pobj->|pobj
rel_399	Ent[ent_387]	Ent[ent_144]	Robert D. Reischauer	Congressional Budget Office	appos|->appos->director->prep->of->pobj->|pobj
rel_399	Ent[ent_387]	Ent[ent_144]	Robert D. Reischauer	Congressional Budget Office	nsubj|<-nsubj<-director->prep->of->pobj->|pobj
rel_399	Ent[ent_387]	Ent[ent_144]	Robert D. Reischauer	Congressional Budget Office	appos|->appos->head->prep->of->pobj->|pobj
rel_399	Ent[ent_387]	Ent[ent_144]	Robert D. Reischauer	Congressional Budget Office	rcmod|->rcmod->director->prep->of->pobj->|pobj
rel_399	Ent[ent_387]	Ent[ent_144]	Robert D. Reischauer	Congressional Budget Office	nsubjpass|<-nsubjpass<-name->prep->as->pobj->director->prep->of->pobj->|pobj
rel_399	Ent[ent_387]	Ent[ent_144]	Robert D. Reischauer	Congressional Budget Office	appos|<-appos<-today->appos->director->prep->of->pobj->|pobj
rel_399	Ent[ent_387]	Ent[ent_144]	Robert D. Reischauer	Congressional Budget Office	appos|->appos->economist->rcmod->director->prep->of->pobj->|pobj
rel_399	Ent[ent_387]	Ent[ent_144]	Robert D. Reischauer	Congressional Budget Office	appos|->appos->economist->prep->of->pobj->|pobj
rel_399	Ent[ent_387]	Ent[ent_144]	Robert D. Reischauer	Congressional Budget Office	appos|->appos->economist->prep->at->pobj->|pobj
rel_399	Ent[ent_387]	Ent[ent_144]	Robert D. Reischauer	Congressional Budget Office	rcmod|->rcmod->head->prep->of->pobj->|pobj
rel_399	Ent[ent_386]	Ent[ent_147]	Lee E. Koppelman	Long Island Regional Planning Board	appos|->appos->director->prep->of->pobj->|pobj
rel_399	Ent[ent_386]	Ent[ent_147]	Lee E. Koppelman	Long Island Regional Planning Board	appos|->appos->chairman->prep->of->pobj->|pobj
rel_399	Ent[ent_386]	Ent[ent_147]	Lee E. Koppelman	Long Island Regional Planning Board	rcmod|->rcmod->director->prep->of->pobj->|pobj
rel_399	Ent[ent_386]	Ent[ent_147]	Lee E. Koppelman	Long Island Regional Planning Board	pobj|<-pobj<-like<-prep<-critic->appos->director->prep->of->pobj->|pobj
rel_316	Ent[ent_386]	Ent[ent_147]	Lee E. Koppelman	Long Island Regional Planning Board	pobj|<-pobj<-include<-prep<-official<-pobj<-of<-prep<-group->appos->director->prep->of->pobj->|pobj
rel_316	Ent[ent_386]	Ent[ent_147]	Lee E. Koppelman	Long Island Regional Planning Board	pobj|<-pobj<-by<-prep<-make<-partmod<-comment->appos->director->prep->of->pobj->|pobj
rel_399	Ent[ent_386]	Ent[ent_147]	Lee E. Koppelman	Long Island Regional Planning Board	pobj|<-pobj<-by<-prep<-developer<-pobj<-for<-prep<-prepare<-partmod<-analysis->appos->director->prep->of->pobj->|pobj
rel_316	Ent[ent_386]	Ent[ent_147]	Lee E. Koppelman	Long Island Regional Planning Board	nsubj|<-nsubj<-say->prep->as->pobj->director->prep->of->pobj->|pobj
rel_399	Ent[ent_386]	Ent[ent_147]	Lee E. Koppelman	Long Island Regional Planning Board	appos|->appos->planner->prep->of->pobj->|pobj
rel_316	Ent[ent_386]	Ent[ent_147]	Lee E. Koppelman	Long Island Regional Planning Board	appos|<-appos<-official->appos->director->prep->of->pobj->|pobj
rel_399	Ent[ent_389]	Ent[ent_146]	Stanley Hill	District Council	appos|->appos->director->prep->of->pobj->|pobj
rel_399	Ent[ent_389]	Ent[ent_146]	Stanley Hill	District Council	appos|->appos->president->prep->of->pobj->|pobj
rel_399	Ent[ent_389]	Ent[ent_146]	Stanley Hill	District Council	appos|->appos->head->prep->of->pobj->|pobj
rel_399	Ent[ent_389]	Ent[ent_146]	Stanley Hill	District Council	dep|<-dep<-surplus<-amod<-president->prep->of->pobj->|pobj
rel_330	Ent[ent_516]	Ent[ent_146]	Stanley Hill	District Council	appos|->appos->leader->prep->of->pobj->|pobj
rel_399	Ent[ent_389]	Ent[ent_146]	Stanley Hill	District Council	rcmod|->rcmod->stomp->nsubj->|nsubj
rel_399	Ent[ent_389]	Ent[ent_146]	Stanley Hill	District Council	rcmod|->rcmod->retire->prep->as->pobj->director->prep->of->pobj->|pobj
rel_399	Ent[ent_389]	Ent[ent_146]	Stanley Hill	District Council	rcmod|->rcmod->head->dobj->|dobj
rel_399	Ent[ent_389]	Ent[ent_146]	Stanley Hill	District Council	pobj|<-pobj<-with<-prep<-say->dep->director->prep->of->pobj->|pobj
rel_303	Ent[ent_1033]	Ent[ent_146]	Stanley Hill	District Council	pobj|<-pobj<-with<-prep<-meeting<-pobj<-at<-prep<-attack->nsubj->director->prep->of->pobj->|pobj
rel_399	Ent[ent_388]	Ent[ent_381]	Mary Ann Rothman	Council of New York Cooperatives	appos|->appos->director->prep->of->pobj->|pobj
rel_399	Ent[ent_388]	Ent[ent_381]	Mary Ann Rothman	Council of New York Cooperatives	pobj|<-pobj<-to<-dep<-accord<-prep<-director->prep->of->pobj->|pobj
rel_399	Ent[ent_388]	Ent[ent_381]	Mary Ann Rothman	Council of New York Cooperatives	dep|->dep->director->prep->of->pobj->|pobj
rel_399	Ent[ent_388]	Ent[ent_381]	Mary Ann Rothman	Council of New York Cooperatives	rcmod|->rcmod->head->dobj->|dobj
rel_399	Ent[ent_388]	Ent[ent_381]	Mary Ann Rothman	Council of New York Cooperatives	pobj|<-pobj<-to->pobj->director->prep->of->pobj->|pobj
rel_399	Ent[ent_388]	Ent[ent_381]	Mary Ann Rothman	Council of New York Cooperatives	appos|->appos->member->prep->of->pobj->committee->rcmod->director->prep->of->pobj->|pobj
rel_399	Ent[ent_388]	Ent[ent_381]	Mary Ann Rothman	Council of New York Cooperatives	appos|->appos->director->prep->at->pobj->|pobj
rel_399	Ent[ent_388]	Ent[ent_381]	Mary Ann Rothman	Council of New York Cooperatives	appos|->appos->diector->prep->of->pobj->|pobj
